Linea 69 Columnas: 89-90     	 )          	 es OPERADOR

Linea 69 Columnas: 91-93     	 AS          	 es PALABRA_RESERVADA

Linea 69 Columnas: 94-105     	 SOLICITANTE          	 es IDENTIFICADOR

Linea 69 Columnas: 105-106     	 ,          	 es OPERADOR

Linea 70 Columnas: 11-12     	 (          	 es OPERADOR

Linea 70 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 70 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 70 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 71 Columnas: 20-22     	 ES          	 es IDENTIFICADOR

Linea 71 Columnas: 22-23     	 .          	 es OPERADOR

Linea 71 Columnas: 23-30     	 USUARIO          	 es IDENTIFICADOR

Linea 72 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 72 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 72 Columnas: 23-24     	 .          	 es OPERADOR

Linea 72 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 72 Columnas: 27-28     	 .          	 es OPERADOR

Linea 72 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 72 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 72 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 72 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 72 Columnas: 70-71     	 (          	 es OPERADOR

Linea 72 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 72 Columnas: 77-78     	 )          	 es OPERADOR

Linea 73 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 73 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 73 Columnas: 21-22     	 .          	 es OPERADOR

Linea 73 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

Linea 73 Columnas: 36-37     	 =          	 es OPERADOR

Linea 73 Columnas: 38-39     	 2          	 es ENTERO (value = 2)

Linea 74 Columnas: 19-22     	 AND          	 es PALABRA_RESERVADA

Linea 74 Columnas: 23-25     	 ES          	 es IDENTIFICADOR

Linea 74 Columnas: 25-26     	 .          	 es OPERADOR

Linea 74 Columnas: 26-38     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 74 Columnas: 39-40     	 =          	 es OPERADOR

Linea 74 Columnas: 41-42     	 s          	 es IDENTIFICADOR

Linea 74 Columnas: 42-43     	 .          	 es OPERADOR

Linea 74 Columnas: 43-55     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 75 Columnas: 13-18     	 ORDER          	 es PALABRA_RESERVADA

Linea 75 Columnas: 19-21     	 BY          	 es PALABRA_RESERVADA

Linea 75 Columnas: 22-24     	 ES          	 es IDENTIFICADOR

Linea 75 Columnas: 24-25     	 .          	 es OPERADOR

Linea 75 Columnas: 25-36     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 75 Columnas: 37-40     	 ASC          	 es PALABRA_RESERVADA

Linea 75 Columnas: 40-41     	 )          	 es OPERADOR

Linea 75 Columnas: 42-44     	 AS          	 es PALABRA_RESERVADA

Linea 75 Columnas: 45-52     	 USUARIO          	 es IDENTIFICADOR

Linea 75 Columnas: 52-53     	 ,          	 es OPERADOR

Linea 76 Columnas: 11-12     	 (          	 es OPERADOR

Linea 76 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 76 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 76 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 77 Columnas: 20-22     	 ES          	 es IDENTIFICADOR

Linea 77 Columnas: 22-23     	 .          	 es OPERADOR

Linea 77 Columnas: 23-34     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 78 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 78 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 78 Columnas: 23-24     	 .          	 es OPERADOR

Linea 78 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 78 Columnas: 27-28     	 .          	 es OPERADOR

Linea 78 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 78 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 78 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 78 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 78 Columnas: 70-71     	 (          	 es OPERADOR

Linea 78 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 78 Columnas: 77-78     	 )          	 es OPERADOR

Linea 79 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 79 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 79 Columnas: 21-22     	 .          	 es OPERADOR

Linea 79 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

Linea 79 Columnas: 36-37     	 =          	 es OPERADOR

Linea 79 Columnas: 38-39     	 2          	 es ENTERO (value = 2)

Linea 80 Columnas: 19-22     	 AND          	 es PALABRA_RESERVADA

Linea 80 Columnas: 23-25     	 ES          	 es IDENTIFICADOR

Linea 80 Columnas: 25-26     	 .          	 es OPERADOR

Linea 80 Columnas: 26-38     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 80 Columnas: 39-40     	 =          	 es OPERADOR

Linea 80 Columnas: 41-42     	 s          	 es IDENTIFICADOR

Linea 80 Columnas: 42-43     	 .          	 es OPERADOR

Linea 80 Columnas: 43-55     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 81 Columnas: 13-18     	 ORDER          	 es PALABRA_RESERVADA

Linea 81 Columnas: 19-21     	 BY          	 es PALABRA_RESERVADA

Linea 81 Columnas: 22-24     	 ES          	 es IDENTIFICADOR

Linea 81 Columnas: 24-25     	 .          	 es OPERADOR

Linea 81 Columnas: 25-36     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 81 Columnas: 37-40     	 ASC          	 es PALABRA_RESERVADA

Linea 81 Columnas: 40-41     	 )          	 es OPERADOR

Linea 81 Columnas: 42-44     	 AS          	 es PALABRA_RESERVADA

Linea 81 Columnas: 45-58     	 FECHA_TERMINO          	 es IDENTIFICADOR

Linea 81 Columnas: 58-59     	 ,          	 es OPERADOR

Linea 82 Columnas: 11-12     	 (          	 es OPERADOR

Linea 82 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 82 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 82 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 83 Columnas: 20-22     	 ES          	 es IDENTIFICADOR

Linea 83 Columnas: 22-23     	 .          	 es OPERADOR

Linea 83 Columnas: 23-30     	 USUARIO          	 es IDENTIFICADOR

Linea 84 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 84 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 84 Columnas: 23-24     	 .          	 es OPERADOR

Linea 84 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 84 Columnas: 27-28     	 .          	 es OPERADOR

Linea 84 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 84 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 84 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 84 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 84 Columnas: 70-71     	 (          	 es OPERADOR

Linea 84 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 84 Columnas: 77-78     	 )          	 es OPERADOR

Linea 85 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 85 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 85 Columnas: 21-22     	 .          	 es OPERADOR

Linea 85 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

Linea 85 Columnas: 36-37     	 =          	 es OPERADOR

Linea 85 Columnas: 38-39     	 3          	 es ENTERO (value = 3)

Linea 86 Columnas: 19-22     	 AND          	 es PALABRA_RESERVADA

Linea 86 Columnas: 23-25     	 ES          	 es IDENTIFICADOR

Linea 86 Columnas: 25-26     	 .          	 es OPERADOR

Linea 86 Columnas: 26-38     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 86 Columnas: 39-40     	 =          	 es OPERADOR

Linea 86 Columnas: 41-42     	 s          	 es IDENTIFICADOR

Linea 86 Columnas: 42-43     	 .          	 es OPERADOR

Linea 86 Columnas: 43-55     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 87 Columnas: 13-18     	 ORDER          	 es PALABRA_RESERVADA

Linea 87 Columnas: 19-21     	 BY          	 es PALABRA_RESERVADA

Linea 87 Columnas: 22-24     	 ES          	 es IDENTIFICADOR

Linea 87 Columnas: 24-25     	 .          	 es OPERADOR

Linea 87 Columnas: 25-36     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 87 Columnas: 37-40     	 ASC          	 es PALABRA_RESERVADA

Linea 87 Columnas: 40-41     	 )          	 es OPERADOR

Linea 87 Columnas: 42-44     	 AS          	 es PALABRA_RESERVADA

Linea 87 Columnas: 45-61     	 USUARIO_VERIFICA          	 es IDENTIFICADOR

Linea 87 Columnas: 61-62     	 ,          	 es OPERADOR

Linea 88 Columnas: 11-12     	 (          	 es OPERADOR

Linea 88 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 88 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 88 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 89 Columnas: 20-22     	 ES          	 es IDENTIFICADOR

Linea 89 Columnas: 22-23     	 .          	 es OPERADOR

Linea 89 Columnas: 23-34     	 FEC_TRANSAC          	 es IDENTIFICADOR

Linea 90 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 90 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 90 Columnas: 23-24     	 .          	 es OPERADOR

Linea 90 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 90 Columnas: 27-28     	 .          	 es OPERADOR

Linea 90 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 90 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 90 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 90 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 90 Columnas: 70-71     	 (          	 es OPERADOR

Linea 90 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 90 Columnas: 77-78     	 )          	 es OPERADOR

Linea 91 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 91 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 91 Columnas: 21-22     	 .          	 es OPERADOR

Linea 91 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

